id,detected,total_frame,detected_ratio,detected_percentage,label
87,92,5200,0.017692308,1.77,1
89,23,6849,0.003358154,0.34,0
94,0,6845,0,0,0
95,68,6852,0.00992411,1,1
100,1381,6843,0.201812071,20.19,1
102,18,6847,0.002628889,0.27,0
106,132,6848,0.019275701,1.93,1
108,4,6846,0.000584283,0.06,0
110,799,6847,0.116693442,11.67,1
112,31,5526,0.005609844,0.57,1
120,1,2844,0.000351617,0.04,0
121,154,5350,0.028785047,2.88,0
114,2,6847,0.000292099,0.03,1
116,24,6859,0.003499052,0.35,1
118,479,6849,0.069937217,7,1
124,16,6848,0.002336449,0.24,0
